,Committees,Republican,Democrate
0,Agriculture,21,26
1,Appropriations,23,30
2,Armed Services,26,31
3,Budget,13,22
4,Education and Labor,22,28
5,Energy and Commerce,24,31
6,Ethics,5,5
7,Financial Services,26,34
8,Foreign Affairs,21,26
9,Intelligence,9,13
10,Judiciary,17,24
11,Rules,4,9
12,"Science, Space, and Technology",17,22
13,Select Committee on the Climate Crisis,6,9
14,Small Business,10,14
15,Transportation and Infrastructure,30,37
16,Veterans' Affairs,12,16
17,Ways and Means,17,25
18,Homeland Security,13,18
19,House Administration,3,6
20,Natural Resources,19,25
21,Oversight and Reform,18,24